,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
8240,1 Ave & E 68 St,E 68 St & 3 Ave,40.76500715956159,-73.95816677195266,40.76712840334011,-73.96224617951157,2598
743574,Pier 40 - Hudson River Park,West St & Liberty St,40.727714076210376,-74.0112939677748,40.711444,-74.014847,2594
614975,Kent Ave & N 7 St,Franklin St & Dupont St,40.72038149268669,-73.96163850136142,40.73564,-73.95866,2591
477225,E 77 St & 3 Ave,1 Ave & E 78 St,40.773147246600075,-73.95859547059196,40.77140426,-73.9535166,2588
1003896,Willoughby St & Fleet St,Adelphi St & Myrtle Ave,40.69196470346292,-73.9813040891984,40.69308257016628,-73.97178912994974,2586
12933,10 Ave & W 14 St,West St & Liberty St,40.741974922981555,-74.0083152708062,40.711444,-74.014847,2583
547915,Grand Army Plaza & Central Park S,Central Park S & 6 Ave,40.7643922312634,-73.97372506928633,40.76590932853147,-73.97634155283217,2574
767861,Richardson St & N Henry St,Graham Ave & Conselyea St,40.71907922444153,-73.94223596428093,40.715143,-73.944507,2562
185633,Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,40.77966036299025,-73.98092109782793,40.78524672010934,-73.976673209918,2561
468516,E 68 St & 3 Ave,1 Ave & E 68 St,40.76711511370732,-73.96223776897111,40.76500524980338,-73.95818491007078,2543
903339,W 26 St & 10 Ave,W 26 St & 8 Ave,40.749719562811876,-74.00295426223715,40.74734824980072,-73.9972355103906,2509
368086,E 102 St & 1 Ave,2 Ave & E 96 St,40.78699059858692,-73.94164447558254,40.7839636,-73.9471673,2508
425778,E 32 St & Park Ave,E 33 St & 1 Ave,40.74570031989569,-73.98195277913452,40.74322681432173,-73.97449783980846,2483
298388,Central Park West & W 68 St,Central Park West & W 72 St,40.77339894981693,-73.97783631693477,40.775793780297434,-73.9762057516167,2477
161081,9 Ave & W 18 St,W 17 St & 8 Ave,40.74317421236874,-74.00366477285621,40.74177602998788,-74.00149745981422,2476
